"","id","location","core_assisted","session_rpe"
"420",334,24,"assisted",15
"421",795,8,"assisted",19
"422",1493,28,"assisted",13
"423",1458,8,"assisted",13
"424",978,17,"assisted",11
"425",427,3,"assisted",17
"426",393,27,"assisted",16
"427",751,16,"assisted",16
"428",644,8,"assisted",14
"429",1371,18,"assisted",13
"430",1045,3,"assisted",16
"431",1241,13,"assisted",16
"432",134,28,"assisted",16
"433",1485,13,"assisted",19
"434",411,3,"assisted",17
"435",812,25,"assisted",13
"436",1197,6,"assisted",8
"437",507,3,"assisted",18
"438",934,16,"assisted",15
"439",716,24,"assisted",16
"440",756,17,"assisted",15
"441",1012,17,"assisted",13
"442",1619,13,"assisted",12
"443",6,17,"assisted",13
"444",119,3,"assisted",18
"445",292,27,"assisted",17
"446",340,4,"assisted",15
"447",875,1,"assisted",13
"448",1135,8,"assisted",13
"449",1630,3,"assisted",19
"450",199,22,"assisted",16
"451",837,3,"assisted",18
"452",1058,1,"assisted",16
"453",1384,3,"assisted",14
"454",168,27,"assisted",14
"455",201,14,"assisted",13
"456",17,5,"assisted",16
"457",106,26,"assisted",18
"458",796,8,"assisted",17
"459",299,13,"assisted",15
"460",1376,22,"assisted",16
"461",98,18,"assisted",16
"462",607,9,"assisted",15
"463",66,3,"assisted",18
"464",66,3,"assisted",18
"465",949,27,"assisted",9
"466",658,19,"assisted",14
"467",75,4,"assisted",15
"468",725,11,"assisted",13
"469",149,15,"assisted",15
